asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth
B0C154VR2L,"SAMSUNG Smart TV Crystal 50"" 4K UHD CU7700 - Alexa built in, Samsung Gaming Hub",https://m.media-amazon.com/images/I/71vk2qFDSPL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C154VR2L,4.6,269,2279.05,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0C85J5HYD,"Mini Projetor Portatil 5G Wifi 6 Bluetooth 5.0 Android 11, Projetor 4K 1080P Full HD Suporte 8000 Lumens, Projetor Led Auto de Correcção Trapezóide Horizontal, 180°Girável Projector para Telefónico",https://m.media-amazon.com/images/I/5133wKaOqSL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C85J5HYD,4.5,816,409.99,0,"TV, Áudio e Cinema em Casa",TRUE,5000
B0C1538ZJ4,"Samsung Smart TV Crystal 43"" 4K UHD CU7700 - Alexa built in, Samsung Gaming Hub",https://m.media-amazon.com/images/I/71vk2qFDSPL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C1538ZJ4,4.7,638,1969,2499,"TV, Áudio e Cinema em Casa",FALSE,0
B0B4V379PC,"Samsung 60BU8000 - Smart TV LED 60' 4K UHD, Wifi, HDMI, USB",https://m.media-amazon.com/images/I/8110fzpU-PL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0B4V379PC,4.6,675,3099,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0899BRB4B,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD,https://m.media-amazon.com/images/I/61M025WzQdL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0899BRB4B,4.7,3945,1079.9,1369,"TV, Áudio e Cinema em Casa",TRUE,0
B0BTF68G5R,"Samsung Q90T - Smart TV QLED 55"", 4K, UHD, 120Hz, Alexa built in, Processador com IA, Tela sem limites",https://m.media-amazon.com/images/I/81pG3lqFVnL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BTF68G5R,4.6,313,3399,4749,"TV, Áudio e Cinema em Casa",FALSE,0
B0C6NL4QK3,"Smart TV 43"" 4K LG UHD ThinQ AI 43UR7800PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",https://m.media-amazon.com/images/I/61tj18g5uwL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C6NL4QK3,4.5,111,1899,2849,"TV, Áudio e Cinema em Casa",FALSE,0
B08B14TSHS,"Samsung UN32T4300AGXZD - Smart TV LED 32"" HD, Wifi, HDMI, USB",https://m.media-amazon.com/images/I/61sof9Qtl9L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B08B14TSHS,4.7,2480,1071,1369,"TV, Áudio e Cinema em Casa",FALSE,0
B0899GJHWR,"Smart TV LED 43"" Full HD Samsung LH43BETMLGGXZD, 2 HDMI, 1 USB, Wi-Fi, HDR, Sistema Operacional Tizen e Dolby Digital Plus",https://m.media-amazon.com/images/I/51mB03occBL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0899GJHWR,4.7,517,1799,0,"TV, Áudio e Cinema em Casa",FALSE,0
B09KNTBKMP,"Roku Express - Streaming player Full HD, Transforma sua TV em Smart TV, Com controle remoto e cabo HDMI incluídos",https://m.media-amazon.com/images/I/71eSUOlx1dL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B09KNTBKMP,4.7,8391,212,222.9,"TV, Áudio e Cinema em Casa",FALSE,0
